epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.698,1.40416,2.60725,1.38662,0.59342,0.79051,0.76937,0.48536,1.31734,2.09517,1.34745,0.000295425,0.000295425,0.000295425
2,1055.28,1.27555,1.30809,1.24068,0.76587,0.5453,0.74071,0.4606,1.2991,1.74195,1.39141,0.000588551,0.000588551,0.000588551
3,1635.17,1.30473,1.20846,1.26005,0.75766,0.55196,0.61651,0.38466,1.27425,2.09338,1.37584,0.000871678,0.000871678,0.000871678
4,2201.08,1.26612,1.11547,1.2391,0.63448,0.65818,0.68965,0.4308,1.29458,1.72636,1.39945,0.000864004,0.000864004,0.000864004
5,2809.57,1.25595,0.97337,1.22631,0.85785,0.8514,0.90763,0.59067,1.20184,0.88738,1.30786,0.000849006,0.000849006,0.000849006
6,3393.99,1.25323,0.9033,1.2216,0.80015,0.77628,0.84687,0.5605,1.2243,1.07089,1.33857,0.000834007,0.000834007,0.000834007
7,3917.21,1.22995,0.85374,1.20203,0.92107,0.85851,0.94071,0.63526,1.19659,0.75123,1.27602,0.000819009,0.000819009,0.000819009
8,4383.14,1.21319,0.84828,1.21711,0.89827,0.87128,0.92926,0.62121,1.19193,0.7675,1.27545,0.00080401,0.00080401,0.00080401
9,4845.87,1.20558,0.85597,1.1955,0.75338,0.81869,0.89528,0.59243,1.21384,0.97085,1.27218,0.000789012,0.000789012,0.000789012
