epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,7452.47,1.17191,0.74956,1.19073,0.92361,0.85948,0.93842,0.63372,1.18038,0.66586,1.27469,0.000744016,0.000744016,0.000744016
13,9562.65,1.14701,0.75993,1.16849,0.93262,0.8823,0.96648,0.65145,1.17041,0.63875,1.24869,0.000729018,0.000729018,0.000729018
14,10440.8,1.14802,0.70088,1.16335,0.93429,0.92281,0.96771,0.66756,1.14472,0.58674,1.23538,0.000714019,0.000714019,0.000714019
15,12512.9,1.14137,0.71413,1.16851,0.90529,0.92844,0.96787,0.66519,1.1375,0.67544,1.22611,0.000699021,0.000699021,0.000699021
16,68449.9,1.12414,0.67803,1.16182,0.9646,0.95809,0.97709,0.67592,1.15469,0.53317,1.23733,0.000684022,0.000684022,0.000684022
17,70782.9,1.13043,0.66997,1.18073,0.93378,0.94438,0.96868,0.66984,1.15988,0.55141,1.23377,0.000669024,0.000669024,0.000669024
18,71791.9,1.11983,0.65692,1.16011,0.96741,0.96135,0.98492,0.68949,1.11992,0.49168,1.22574,0.000654025,0.000654025,0.000654025
