epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2147.21,1.40416,2.60725,1.38662,0.59342,0.79051,0.76937,0.48536,1.31734,2.09517,1.34745,0.000295425,0.000295425,0.000295425
2,3040.45,1.27555,1.30809,1.24068,0.76587,0.5453,0.74071,0.4606,1.2991,1.74195,1.39141,0.000588551,0.000588551,0.000588551
3,5122.13,1.30473,1.20846,1.26005,0.75766,0.55196,0.61651,0.38466,1.27425,2.09338,1.37584,0.000871678,0.000871678,0.000871678
4,61068.9,1.26612,1.11547,1.2391,0.63448,0.65818,0.68965,0.4308,1.29458,1.72636,1.39945,0.000864004,0.000864004,0.000864004
5,63408.1,1.25595,0.97337,1.22631,0.85785,0.8514,0.90763,0.59067,1.20184,0.88738,1.30786,0.000849006,0.000849006,0.000849006
6,64435.4,1.25323,0.9033,1.2216,0.80015,0.77628,0.84687,0.5605,1.2243,1.07089,1.33857,0.000834007,0.000834007,0.000834007
